NAMA_RESEP,BAHAN,CARA_MEMBUAT,DURASI,PORSI,LINK,RATING,KALORI,IMG_LINK
Resep Sop Tofu Kembang Kol ala Masako®,"200 gr Tofu, potong dadu
150 gr Udang, buang kepala dan kulit
100 gr Kembang Kol
100 gr Buncis
100 gr Wortel
2 bks Masako® Rasa Ayam 10gr
2 btr Telur
5 siung Bawang Putih, cincang
1 sdm Saus Sambal
1 sdt Lada
1 ltr Air200 gr Tofu, potong dadu150 gr Udang, buang kepala dan kulit100 gr Kembang Kol100 gr Buncis100 gr Wortel2 bks Masako® Rasa Ayam 10gr2 btr Telur5 siung Bawang Putih, cincang1 sdm Saus Sambal1 sdt Lada1 ltr Air","Tumis bawang putih hingga harum, masukkan udang, aduk-aduk hingga berubah warnaTambahkan saus sambal dan air, masak hingga mendidihMasukkan telur, aduk dengan cepatMasukkan kembang kol, buncis, wortel, tofu, lada dan Masako® Rasa Ayam. Masak hingga matang dan sajikan selagi hangat.",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/sop-tofu-kembang-kol-ala-masako-4zfn7,4.95,"637
Kkal",https://www.youtube.com/embed/0LF0E_w8F8Y
Resep Tumis Sosis Kembang Kol ala Masako®,"200 gr Tofu, potong dadu
150 gr Udang, buang kepala dan kulit
100 gr Kembang Kol
100 gr Buncis
100 gr Wortel
2 bks Masako® Rasa Ayam 10gr
2 btr Telur
5 siung Bawang Putih, cincang
1 sdm Saus Sambal
1 sdt Lada
1 ltr Air200 gr Tofu, potong dadu150 gr Udang, buang kepala dan kulit100 gr Kembang Kol100 gr Buncis100 gr Wortel2 bks Masako® Rasa Ayam 10gr2 btr Telur5 siung Bawang Putih, cincang1 sdm Saus Sambal1 sdt Lada1 ltr Air","Iris daun bawang, bawang merah, bawah putih, dan sosis, potong kembang kol, potong tahu ukuran dadu kecil, sisihkanPanaskan minyak, tumis tahu hingga setengah matangTambahkan bawang putih, bawang merah, daun bawang, dan sosis, aduk rataMasukkan kembang kol, air dan Masako® Rasa Sapi , aduk rata, masak hingga matang, angkat, sajikan",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/tumis-sosis-kembang-kol-ala-masako-CKV9k,5.0,"760
Kkal","https://du-static-assets.storage.googleapis.com/recipe/CKV9k/Final%20Plating%20
logo.jpg"
Resep Tumis Kembang Kol Masako®,"- 100 gr Kembang Kol
- 50 gr Daging Sapi Cincang
- 2 siung Bawang Putih
- 1 bh Cabai Merah Besar
- ¼ bks Masako® Rasa Sapi 11 gr
- 3 sdm Minyak Goreng
- 100 ml Air- 100 gr Kembang Kol- 50 gr Daging Sapi Cincang- 2 siung Bawang Putih- 1 bh Cabai Merah Besar- ¼ bks Masako® Rasa Sapi 11 gr- 3 sdm Minyak Goreng- 100 ml Air","Iris bawang putih, cabai merah besar, potong kembang kol, sisihkan.Panaskan minyak goreng, masukkan bawang putih, tumis hingga harum.Masukkan daging sapi cincang, masak hingga berubah warna, tambahkan cabai merah dan kembang kol, aduk rata.Tambahkan air dan Masako® Rasa Sapi, masak hingga matang, angkat dan sajikan.",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/tumis-kembang-kol-masako-BhilD,5.0,"405
Kkal",https://storage.googleapis.com/dapurumami-test/recipe/Tumis%20Kembang%20Kol%20Masako%25C2%25AE-5inNpC1658998325.png
Resep Tumis Kembang Kol,"- 150g Kembang kol
- 100g Udang
- 3 btg Sawi
- 3 siung Bawang putih
- 1 bh Bawang bombay
- 2 bh Cabai keriting
- 2 sdm Minyak goreng
- 1 bks SAORI® Saus Tiram (30 g)
- 100 ml Air- 150g Kembang kol- 100g Udang- 3 btg Sawi- 3 siung Bawang putih- 1 bh Bawang bombay- 2 bh Cabai keriting- 2 sdm Minyak goreng- 1 bks SAORI® Saus Tiram (30 g)- 100 ml Air","Potong potong kembang kol dan sawi. Iris-iris bawang bombay, cabai keriting, dan bawang putih.Tumis bawang putih, bawang bombay, udang, dan cabai keriting hingga harum.Masukkan kembang kol dan sawi.Tambahkan air dan SAORI® Saus Tiram, masak hingga matang, angkat, dan sajikan.",Waktu Memasak 20 menit,4 Porsi,https://www.dapurumami.com/resep/tumis-kembang-kol-JChA5,5.0,"82
Kkal",https://du-static-assets.storage.googleapis.com/recipe/JChA5/196.jpg
Resep Sayur Singkong Tumbuk ala Masako®,"75 gr Daun Singkong (1 ikat)
4 siung Bawang Merah
1 siung Bawang Putih
1 btg Serai
1 ruas Laos
1 cm Jahe
2 cm Kunyit
1 bh Kecombrang
1 bks Masako® Rasa Ayam 11 gr
600 ml Santan Encer
50 ml Air75 gr Daun Singkong (1 ikat)4 siung Bawang Merah1 siung Bawang Putih1 btg Serai1 ruas Laos1 cm Jahe2 cm Kunyit1 bh Kecombrang1 bks Masako® Rasa Ayam 11 gr600 ml Santan Encer50 ml Air","Buat bumbu halus: masukkan bawang merah, bawang putih, kunyit, jahe dan air, haluskan, sisihkan.Tumbuk daun singkong hingga halus, peras, sisihkan.Panaskan santan encer, masukkan bumbu halus, serai, laos, kecombrang, daun singkong tumbuk dan Masako® Rasa Ayam, masak hingga matang, angkat dan sajikan.",Waktu Memasak 60 menit,4 Porsi,https://www.dapurumami.com/resep/sayur-singkong-tumbuk-ala-masako-Nbt1K,5.0,"806
Kkal",https://storage.googleapis.com/dapurumami-test/recipe/Sayur%20Singkong%20Tumbuk%20ala%20Masako%25C2%25AE-1uz2pe1658714362.png
Resep Singkong Thailand ala Mayumi®,"500 gr Singkong
1 bks Mayumi®
200 ml Santan Kental
150 gr Gula
2 lbr Pandan
½ sdt Vanili
1 sdt Garam
1½ ltr Air500 gr Singkong1 bks Mayumi®200 ml Santan Kental150 gr Gula2 lbr Pandan½ sdt Vanili1 sdt Garam1½ ltr Air","Potong singkong, sisihkan.Panaskan air, masukkan singkong, daun pandan dan vanili. Rebus hingga air berkurang.Masukan gula dan garam. Rebus hingga singkong matang dan air habis, sisihkan.Siapkan wajan, masukkan santan, garam dan Mayumi®, aduk hingga matang, angkat. Sajikan.",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/singkong-thailand-ala-mayumi-WjKFB,4.85,"2688
Kkal","https://du-static-assets.storage.googleapis.com/recipe/WjKFB/Final%20Plating%20
logo.jpg"
Resep Buntil Daun Singkong Masako®,"- 100 gr Daun Singkong
- 120 gr Kelapa Muda Parut
- 60 gr Teri Medan
- 50 gr Petai Cina
- 3 bh Cabai Merah
- 5 siung Bawang Merah
- 5 siung Bawang Putih
- 2 lbr Daun Salam
- 1 sdt Ketumbar
- 2 ruas Kencur- 1 sdm Gula Merah
- 1 bks Masako® Rasa Sapi 11 gr
- 800 ml Santan Encer- 100 gr Daun Singkong- 120 gr Kelapa Muda Parut- 60 gr Teri Medan- 50 gr Petai Cina- 3 bh Cabai Merah- 5 siung Bawang Merah- 5 siung Bawang Putih- 2 lbr Daun Salam- 1 sdt Ketumbar- 2 ruas Kencur- 1 sdm Gula Merah- 1 bks Masako® Rasa Sapi 11 gr- 800 ml Santan Encer","Buat bumbu halus: Masukan cabai merah, bawang merah, bawang putih, ketumbar, kencur dan gula merah, haluskan.Masukan kelapa muda parut, teri medan, petai cina, 1/2 bumbu halus dan 1/2 bks Masako® Rasa Sapi ke dalam wadah, aduk rata.Siapkan daun singkong membentuk lingkaran, ambil adonan letakan di atas daun singkong sebanyak 2 sdm. Lipat daun singkong membentuk bulatan, ikat, sisihkan.Siapkan wajan, masukan santan, sisa bumbu halus, daun salam, buntil, sisa Masako® Rasa Sapi ke dalam wajan, aduk rata. Masak hingga air menyusut, angkat dan sajikan.",Waktu Memasak 40 menit,4 Porsi,https://www.dapurumami.com/resep/buntil-daun-singkong-masako-1uplz,5.0,"1451
Kkal",https://du-static-assets.storage.googleapis.com/recipe/1uplz/1489799892.png
Resep Singkong Spesial Ala Masako®,"- 500 gr Singkong Parut Kukus
- 100 gr Keju Parut
- 1 butir Telur
- 1 bks Masako® Raya Ayam 11 gr
- 700 ml Minyak Goreng- 500 gr Singkong Parut Kukus- 100 gr Keju Parut- 1 butir Telur- 1 bks Masako® Raya Ayam 11 gr- 700 ml Minyak Goreng","Masukkan singkong parut kukus, 2 sdm keju parut, telur, Masako® Rasa Ayam, aduk rata.Ambil adonan, bentuk bulatan, sisihkanPanaskan minyak goreng, masukkan adonan bola singkong, goreng hingga matang, angkat, taburi dengan sisa keju parut.",Waktu Memasak 45 menit,12 Porsi,https://www.dapurumami.com/resep/singkong-spesial-ala-masako-1qnAU,5.0,"1537
Kkal",https://du-static-assets.storage.googleapis.com/recipe/1qnAU/1474644320.png
Resep Singkong Isi Oncom,"- 250 gr Singkong Parut
- 150 gr Oncom
- 30 gr Kelapa Parut- ½ btg Daun Bawang
- 5 bh Cabai Rawit
- 1 sdm Gula Merah
- 1 bks Masako® Rasa Ayam 11 gr
- 600 ml Minyak Goreng- 250 gr Singkong Parut- 150 gr Oncom- 30 gr Kelapa Parut- ½ btg Daun Bawang- 5 bh Cabai Rawit- 1 sdm Gula Merah- 1 bks Masako® Rasa Ayam 11 gr- 600 ml Minyak Goreng","Iris cabai rawit, daun bawang, sisihkan.Campur singkong parut, kelapa parut, dan 1/2 bks Masako® Rasa Ayam, aduk rata, bagi menjadi 8 bagian, sisihkan.Panaskan 2 sdm minyak, masukkan oncom, cabai rawit, daun bawang, gula merah dan 1/2 bks Masako® Rasa Ayam, masak hingga matang. Bagi menjadi 8 bagian.Ambil 1 bagian adonan singkong, isi dengan 1 adonan oncom, lalu bulatkan oval, lakukan hingga adonan habis.Panaskan minyak, goreng combro hingga kuning keemasan, angkat dan sajikan.",Waktu Memasak 40 menit,8 Porsi,https://www.dapurumami.com/resep/singkong-isi-oncom-krFjY,5.0,"1156
Kkal",https://du-static-assets.storage.googleapis.com/recipe/krFjY/1484911135.png
Resep Churros Singkong Sajiku®,"- 150 gr Singkong Kukus Parut
- 75 gr Kelapa Parut
- 1 bks Sajiku® Tepung Bumbu 80 gr
- 700 ml Minyak Goreng- 150 gr Singkong Kukus Parut- 75 gr Kelapa Parut- 1 bks Sajiku® Tepung Bumbu 80 gr- 700 ml Minyak Goreng","Masukkan singkong kukus parut, kelapa parut, dan Sajiku® Tepung Bumbu, aduk rata.Ambil adonan, masukkan ke dalam plastik segitiga dengan spuit bentuk bintang, cetak memanjang, sisihkan.Panaskan minyak goreng, masukkan adonan, goreng hingga kuning keemasan, angkat, tiriskan.",Waktu Memasak 30 menit,12 Porsi,https://www.dapurumami.com/resep/churros-singkong-sajiku-QFwbB,4.5,"0
Kkal",https://storage.googleapis.com/dapurumami-test/recipe/Jagung%20Mayo%20Keju-tg5GDb1658992275.png
Resep Singkong Keju Sajiku®,"- 500 gr singkong kupas
- 1 bks Sajiku® Ayam Goreng
- 750 ml air
- 100 ml santan
- 700 ml minyak goreng
- 30 gr keju parut- 500 gr singkong kupas- 1 bks Sajiku® Ayam Goreng- 750 ml air- 100 ml santan- 700 ml minyak goreng- 30 gr keju parut","Masak air, singkong dan Sajiku® Ayam Goreng hingga air tinggal 1/3 bagian.Tambahkan santan, masak hingga santan mengering, angkat, tiriskan.Panaskan minyak , lalu goreng singkong hingga kuning kecoklatan, angkat, taburi keju, Sajikan.",Waktu Memasak 60 menit,2 Porsi,https://www.dapurumami.com/resep/singkong-keju-sajiku-HrqTx,4.75,"1255
Kkal",https://du-static-assets.storage.googleapis.com/recipe/HrqTx/284.jpg
Resep Keripik Singkong Mayo,"- 2 sdm minyak
- 100 gr daging sapi cincang
- 100 gr jagung pipilan
- 1 bks Mayumi®
- 120 gr keripik singkong
- 1 bh cabai merah
- 20g keju parut- 2 sdm minyak- 100 gr daging sapi cincang- 100 gr jagung pipilan- 1 bks Mayumi®- 120 gr keripik singkong- 1 bh cabai merah- 20g keju parut","Potong cabai merah, buang biji.Panaskan minyak, masukkan daging cincang, cabai merah, dan jagung, aduk rata, angkat.Tuang di atas kripik.Tambahkan Mayumi® dan keju parut, sajikan.",Waktu Memasak 60 menit,4 Porsi,https://www.dapurumami.com/resep/keripik-singkong-mayo-fUXDV,5.0,"475
Kkal",https://du-static-assets.storage.googleapis.com/recipe/fUXDV/271.jpg
Resep Singkong Selai Mayo,"- 300 g singkong, kupas
- 2 sdm selai strawberry
- 1 bks Mayumi® 100g
- 100g keju, parut- 300 g singkong, kupas- 2 sdm selai strawberry- 1 bks Mayumi® 100g- 100g keju, parut","Kukus singkong hingga empuk.Potong potong singkong, sisihkan.Siapkan wadah, masukkan Mayumi® & selai strawberry, aduk rata.Tambahkan singkong, aduk rata. Sajikan singkong dengan keju.",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/singkong-selai-mayo-JKlk0,4.9,"785
Kkal",https://du-static-assets.storage.googleapis.com/recipe/JKlk0/235.jpg
Resep Kikil Daun Singkong Bumbu Rendang,"- 500 gr Kikil sapi
- 450 ml Santan (1/2 btr)
- 200 gr Daun singkong (2 ikat)
- 1 bks Sajiku® Bumbu Rendang- 500 gr Kikil sapi- 450 ml Santan (1/2 btr)- 200 gr Daun singkong (2 ikat)- 1 bks Sajiku® Bumbu Rendang","Tumis kikil hingga 1/2 matang. Tambahkan Sajiku® Bumbu Rendang. Aduk rata hingga bumbu meresapTuang santan, masak sebentar hingga kuah berminyak. Tambahkan daun singkong rebus.Teruskan memasak hingga bahan matang. Angkat dan sajikan.",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/kikil-daun-singkong-bumbu-rendang-zKzQI,5.0,"2168
Kkal",https://du-static-assets.storage.googleapis.com/recipe/zKzQI/kikil-daun-rendang.jpg
Resep Gulai Daun Singkong,"- 3 ikat daun singkong, petik, rebus
- 50 gr ikan teri medan, cuci bersih
- 8 bh cabai merah, haluskan
- 2 btg serai, memarkan
- 2 sdm kari bubuk
- 1 bks Masako® Rasa Sapi 11 gr
- 200 ml santan
- 500 ml air- 3 ikat daun singkong, petik, rebus- 50 gr ikan teri medan, cuci bersih- 8 bh cabai merah, haluskan- 2 btg serai, memarkan- 2 sdm kari bubuk- 1 bks Masako® Rasa Sapi 11 gr- 200 ml santan- 500 ml air","Cabai, haluskan. Serai, memarkan. Daun singkong, petik, rebus hingga layu, angkat dan tiriskan.Masukkan cabai halus, serai, kari bubuk, nyalakan api, aduk rata, lalu masukkan ikan teri.Masukkan air, santan, daun singkong dan Masako® Rasa Sapi, masak hingga matang.Angkat dan sajikan dengan nasi hangat.",Waktu Memasak 15 menit,4 Porsi,https://www.dapurumami.com/resep/gulai-daun-singkong-4vua1,5.0,"169
Kkal",https://du-static-assets.storage.googleapis.com/recipe/4vua1/63.jpg
Resep Daun Singkong Tabur,"- 250 gr daun singkong muda, rebus dengan setengah sdt soda kue, peras, iris tipis
- 5 bh tahu cokelat, iris tipis bentuk kotak
- 1/2 sdt terasi bakar
- Garam secukupnya
- Merica secukupnya
- 2 sdm air asam jawa
- Minyak goreng secukupnya
- 100 ml air
- 1 bks Masako® Rasa SapiBumbu iris :
- 6 siung bawang merah
- 4 siung bawang putih
- 5 bh cabai merah keriting
- 6 lbr daun jeruk
- 3 btg serai, ambil bagian putihnya- 250 gr daun singkong muda, rebus dengan setengah sdt soda kue, peras, iris tipis- 5 bh tahu cokelat, iris tipis bentuk kotak- 1/2 sdt terasi bakar- Garam secukupnya- Merica secukupnya- 2 sdm air asam jawa- Minyak goreng secukupnya- 100 ml air- 1 bks Masako® Rasa SapiBumbu iris :- 6 siung bawang merah- 4 siung bawang putih- 5 bh cabai merah keriting- 6 lbr daun jeruk- 3 btg serai, ambil bagian putihnya","Larutkan 1/2 bks Masako® Rasa Sapi dalam 100 ml air, tambahkan garam dan merica. Rendam tahu selama 15 menit. Tiriskan. Goreng hingga kering. Sisihkan.Tumis bawang merah dan bawang putih dengan 5 sdm minyak goreng. Masukkan gula merah dan sisa irisan bumbu.Masukkan daun singkong, terasi, 100 ml air, air asam jawa, sisa Masako® Rasa Sapi, serta garam dan merica, aduk rata. Angkat. Taburi dengan tahu goreng. Sajikan.",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/daun-singkong-tabur-XacYk,4.95,"329
Kkal",https://du-static-assets.storage.googleapis.com/recipe/XacYk/daun-singkong-tabur.jpg
Resep Sayur Kacang Panjang dan Toge ala AJI-NO-MOTO®,"100 gr Kacang Panjang
100 gr Toge
150 gr Tahu
1 ruas lengkuas, iris
4 lembar daun jeruk
2 buah cabe merah tanpa biji, iris
3 siung bawang putih, iris
3 gr garam
3 gr Ajinomoto
150 ml air150 ml susu low fat
½ sdt Lada bubuk
2 sdm minyak goreng100 gr Kacang Panjang100 gr Toge150 gr Tahu1 ruas lengkuas, iris4 lembar daun jeruk2 buah cabe merah tanpa biji, iris3 siung bawang putih, iris3 gr garam3 gr Ajinomoto150 ml air150 ml susu low fat½ sdt Lada bubuk2 sdm minyak goreng","Tumis bawang merah, dan bawang putih, irisan lengkuas, daun jeruk hingga harum. Tambahkan airMasukan Kacang panjang, toge, tahu aduk rata masak hingga matangMasukan garam, Ajinomoto, Lada bubuk, Susu Cair lowfat. Aduk rata angkat dan sajikan.",#ALL_SELECTORS_RETURN_NULL,6 Porsi,https://www.dapurumami.com/resep/sayur-kacang-panjang-dan-toge-ala-aji-no-moto,4.85,"69
Kkal",https://storage.googleapis.com/dapurumami-test/recipe/Sayur%20Kacang%20Panjang%20Toge.jpg
Resep Tumis Mangut Kacang Panjang Ala Masako®,"450 g ikan mangut atau ikan asap
50 g tempe
250 g kacang panjangpotong 4 cm
5 bh cabai rawit, iris melintang
5 siung bawang putih
5 siung bawang merah
3 lbr daun salam
2 ruas lengkuas
100 ml santan
350 ml air
1 bks Masako Rasa Sapi 11 g450 g ikan mangut atau ikan asap50 g tempe250 g kacang panjangpotong 4 cm5 bh cabai rawit, iris melintang5 siung bawang putih5 siung bawang merah3 lbr daun salam2 ruas lengkuas100 ml santan350 ml air1 bks Masako Rasa Sapi 11 g","Haluskan bawang putih, bawang merah, dan cabai rawit, tumis hingga harum. Masukkan daun salam dan lengkuas, aduk rata.Masukkan ikan mangut atau ikan asap, tambahkan santan dan air, aduk rata.Masukkan kacang panjang dan Masako Rasa Sapi. Masak hingga santan sedikit menyusut.Angkat dan sajikan.",Waktu Memasak 45 menit,4 Porsi,https://www.dapurumami.com/resep/tumis-mangut-kacang-panjang-ala-masako-E3P0r,4.9,"227
Kkal",https://du-static-assets.storage.googleapis.com/recipe/E3P0r/Web-Tumis-Mangut-FINAL01.jpg
Resep Tumis Kacang Panjang ala Masako®,"200 gr Kacang Panjang
100 gr Udang Kecil Kupas
75 gr Jagung Muda
2 sdm Minyak
50 ml Air¾ bks Masako® Rasa Ayam 11 gr200 gr Kacang Panjang100 gr Udang Kecil Kupas75 gr Jagung Muda2 sdm Minyak50 ml Air¾ bks Masako® Rasa Ayam 11 gr","Potong kacang panjang, iris serong jagung muda, sisihkan.Panaskan minyak, masukkan udang, tumis hingga berubah warna.Tambahkan kacang panjang, jagung muda dan air, masak hingga sayuran layu.Tambahkan Masako® Rasa Ayam, aduk rata, dan sajikan.",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/tumis-kacang-panjang-ala-masako-0csXT,5.0,"561
Kkal","https://du-static-assets.storage.googleapis.com/recipe/0csXT/Tumis%20Kacang%20
Panjang_Final%20logo.jpg"
Resep Kacang Panjang Tumis Jagung ala AJI-NO-MOTO®,"100 gr Kacang Panjang
100 gr Jagung Pipilan
2 bh Sosis Sapi
1 sdt AJI-NO-MOTO®
3 siung Bawang Merah
3 siung Bawang Putih
2 bh Cabai Merah Besar
50 ml Air
¼ sdt Garam
3 sdm Minyak goreng100 gr Kacang Panjang100 gr Jagung Pipilan2 bh Sosis Sapi1 sdt AJI-NO-MOTO®3 siung Bawang Merah3 siung Bawang Putih2 bh Cabai Merah Besar50 ml Air¼ sdt Garam3 sdm Minyak goreng","Iris bawang putih, bawang merah, dan sosis, potong serong cabai keriting, potong kacang panjang, sisihkanPanaskan minyak, masukkan bawang putih, bawang merah, dan cabai keriting, tumis hingga harum.Masukkan kacang panjang, sosis, dan jagung manis, aduk rata.Tambahkan air, AJI-NO-MOTO®dan garam, masak hingga matang.",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/kacang-panjang-tumis-jagung-ala-aji-no-moto-fvEAe,5.0,"12487
Kkal","https://du-static-assets.storage.googleapis.com/recipe/fvEAe/Final%20Plating%20
logo.jpg"
Resep Tumis Kacang Panjang SAORI®,"- 150 gr Kacang Panjang
- 50 gr Tempe
- 1 bh Cabai Merah Keriting
- 3 Siung Bawang Putih
- 2 Siung Bawang Merah
- 1 bks SAORI® Saus Tiram
- 20 ml Minyak Goreng (1 sdm)
- 50 ml Air- 150 gr Kacang Panjang- 50 gr Tempe- 1 bh Cabai Merah Keriting- 3 Siung Bawang Putih- 2 Siung Bawang Merah- 1 bks SAORI® Saus Tiram- 20 ml Minyak Goreng (1 sdm)- 50 ml Air","Potong serong cabai merah keriting, iris bawang putih dan bawang merah, potong tempe dan kacang panjang, sisihkan.Panaskan minyak goreng, masukkan tempe, bawang putih, bawang merah dan cabai merah keriting, aduk hingga harum.Tambahkan kacang panjang, SAORI® Saus Tiram, air, aduk rata, masak hingga matang, sajikan.",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/tumis-kacang-panjang-saori-irBnl,5.0,"145
Kkal",https://storage.googleapis.com/dapurumami-test/recipe/Tumis%20Kacang%20Panjang%20SAORI-aFBX161658992117.png
Resep Kacang Panjang Gulung Daging,"- 2 ikat Kacang panjang
- 300 g Daging sapi
- 1/2 siung Bawang bombay
- 3 bh Tomat
- 1 sdt Garam
- 1 sdm Gula
- 1 sdt AJI-NO-MOTO®
- 6 sdm Minyak goreng- 2 ikat Kacang panjang- 300 g Daging sapi- 1/2 siung Bawang bombay- 3 bh Tomat- 1 sdt Garam- 1 sdm Gula- 1 sdt AJI-NO-MOTO®- 6 sdm Minyak goreng","Iris dan pipihkan daging. Potong potong kacang panjang.Bungkus 5 potong kacang panjang dengan daging, sematkan tusuk gigi. Haluskan tomat.Tumis bawang bombay hingga harum. Masukkan kacang panjang gulung daging, masak hingga matang.Masukkan tomat halus, garam, gula, dan AJI-NO-MOTO®, aduk rata, masak hingga matang, angkat, dan sajikan.",Waktu Memasak 40 menit,5 Porsi,https://www.dapurumami.com/resep/kacang-panjang-gulung-daging-jM9Cb,4.9,"252
Kkal",https://du-static-assets.storage.googleapis.com/recipe/jM9Cb/147.jpg
Resep Kacang Panjang Kuah Santan,"- 10 btg kacang panjang, potong-potong
- 25 g daun melinjo
- 1 bh jagung manis, sisir
- 100 g tempe, potong dadu
- 2 lbr daun salam
- 2 cm lengkuas, memarkan
- 3 bh cabai merah, iris serong
- 1 bks Masako® Rasa Ayam 11 gr
- 300 ml santan
- 750 ml air
Pelengkap :
- Ketupat- 10 btg kacang panjang, potong-potong- 25 g daun melinjo- 1 bh jagung manis, sisir- 100 g tempe, potong dadu- 2 lbr daun salam- 2 cm lengkuas, memarkan- 3 bh cabai merah, iris serong- 1 bks Masako® Rasa Ayam 11 gr- 300 ml santan- 750 ml airPelengkap :- Ketupat","Sisir jagung, memarkan lengkuas, potong-potong kacang panjang, tempe, dan cabai.Didihkan air, masukkan lengkuas, daun salam, jagung, tempe, santan, kacang panjang, daun melinjo, dan cabai.Masak hingga mendidih, tambahkan Masako® Rasa Ayam, aduk rata.Angkat dan sajikan dengan pelengkap.",Waktu Memasak 15 menit,4 Porsi,https://www.dapurumami.com/resep/kacang-panjang-kuah-santan-KBRNS,4.9,"282
Kkal",https://du-static-assets.storage.googleapis.com/recipe/KBRNS/69.jpg
Resep Oseng Tempe Kacang Panjang,"10 btg kacang panjang, potong-potong150 gr tempe, potong korek api2 bh jagung muda, potong serong1/2 bh tomat, buang bijinya iris memanjang150 ml airMinyak untuk menggoreng dan menumis
Bumbu:6 siung bawang merah dan 3 siung bawang putih, iris tipis1 bh cabai merah, iris tipis1 lbr daun jeruk, iris tipis1 sdt kecap manis1 bks SAORI® Saus TiramGaram secukupnyaMerica secukupnya10 btg kacang panjang, potong-potong150 gr tempe, potong korek api2 bh jagung muda, potong serong1/2 bh tomat, buang bijinya iris memanjang150 ml airMinyak untuk menggoreng dan menumisBumbu:6 siung bawang merah dan 3 siung bawang putih, iris tipis1 bh cabai merah, iris tipis1 lbr daun jeruk, iris tipis1 sdt kecap manis1 bks SAORI® Saus TiramGaram secukupnyaMerica secukupnya","Goreng tempe hingga agak kering, angkat dan sisihkan.Tumis bawang putih dan bawang merah hingga harum.Tambahkan kacang panjang, jagung muda dan air. Masak hingga layu, lalu masukkan daun jeruk dan cabai merah.Tambahkan tempe, SAORI® Saus Tiram, kecap manis, tomat, garam, dan merica. Aduk rata, angkat dan sajikan.",Waktu Memasak 30 menit,2 Porsi,https://www.dapurumami.com/resep/oseng-tempe-kacang-panjang-5XjRp,4.8,"874
Kkal",https://du-static-assets.storage.googleapis.com/recipe/5XjRp/oseng-tempe-kacang-panjang.jpg
Resep Pare Tempe Masako®,"- 100 gr Tempe
- 1 bh Pare Muda
- 2 siung Bawang Putih
- 3 siung Bawang Merah- 1 bh Cabai Merah Besar
- 2 sdm Kecap Manis
- ½ bks Masako® Rasa Ayam 11 gr
- 2 sdm Minyak Goreng
- 50 ml Air- 100 gr Tempe- 1 bh Pare Muda- 2 siung Bawang Putih- 3 siung Bawang Merah- 1 bh Cabai Merah Besar- 2 sdm Kecap Manis- ½ bks Masako® Rasa Ayam 11 gr- 2 sdm Minyak Goreng- 50 ml Air","Iris bawang merah, bawang putih, cabai merah, dan pare muda, potong tempe bentuk korek api, sisihkan.Tabur pare dengan garam, remas-remas hingga getahnya keluar, bilas dengan air, sisihkan.Panaskan minyak goreng, masukkan bawang merah, bawang putih dan cabai merah, tumis hingga harum.Masukkan tempe, pare, air, kecap manis, dan Masako® Rasa Ayam, aduk rata, masak hingga matang, angkat, dan sajikan.",Waktu Memasak 30 menit,4 Porsi,https://www.dapurumami.com/resep/pare-tempe-masako-E8phQ,4.95,"420
Kkal",https://storage.googleapis.com/dapurumami-test/recipe/Pare%20Tempe%20Masako%25C2%25AE-AQqS9P1658731516.png
Resep Tumis Pare,"- 2 bh Pare
- 100 gr Ikan asin jambal
- 3 bh Cabai merah besar
- 5 bh Cabai rawit merah
- 1 bks Masako® Rasa Ayam 11 gr
- 3 sdt Garam
- 100 ml Air
- 5 sdm Minyak goreng- 2 bh Pare- 100 gr Ikan asin jambal- 3 bh Cabai merah besar- 5 bh Cabai rawit merah- 1 bks Masako® Rasa Ayam 11 gr- 3 sdt Garam- 100 ml Air- 5 sdm Minyak goreng","Cabai, iris serong. Ikan asin jambal, potong potong. Pare, belah 2, buang biji, iris iris. Campur pare dengan garam.Remas remas pare, tambahkan air, diamkan, lalu tiriskan.Tumisikan jambal dan cabai. Masukkan pare, aduk rata.Tambahkan air dan Masako® Rasa Ayam, masak hingga matang, angkat dan sajikan.",Waktu Memasak 15 menit,4 Porsi,https://www.dapurumami.com/resep/tumis-pare-BW2Qt,4.95,"107
Kkal",https://du-static-assets.storage.googleapis.com/recipe/BW2Qt/82.jpg
Resep Tauge Goreng ala Masako®,#ALL_SELECTORS_RETURN_NULL,#ALL_SELECTORS_RETURN_NULL,#ALL_SELECTORS_RETURN_NULL,#ALL_SELECTORS_RETURN_NULL,https://www.dapurumami.com/resep/tauge-goreng-ala-masako,4.95,"3490
Kkal",https://storage.googleapis.com/dapurumami-test/recipe/Toge%20Goreng%20ala%20Masako-Nnljnc1645801898.jpg
